dataset,ada,ddae,delta
20newsgroups,7.170521978430405,5.32217867212168,1.848343306308725
ALOI,3.614314778286828,3.2867127841657493,0.3276019941210788
Agnews,7.964388145527328,5.191003297662283,2.773384847865046
Amazon,6.234490107049204,5.235996906906327,0.9984932001428772
CIFAR10,10.08159992833372,6.042520277822348,4.039079650511372
Cardiotocography,33.19635554414115,38.33264194635199,-5.1362864022108425
FashionMNIST,31.122574795816682,10.865035421971134,20.257539373845546
Hepatitis,25.86299957950525,34.02915158626439,-8.166152006759141
Imdb,4.644852775157919,4.831059985305326,-0.1862072101474066
InternetAds,20.895177417370288,19.801476098121608,1.0937013192486802
Ionosphere,88.59586859197476,33.77546922904876,54.820399362926004
Lymphography,94.73611111111111,11.618916252821904,83.11719485828921
MNIST-C,17.841820100626542,6.7557456443328245,11.086074456293717
MVTec-AD,54.403929183820594,38.18562904850162,16.218300135318977
PageBlocks,55.389106626473314,27.803813450936058,27.585293175537256
Pima,50.020966448843424,35.567447484705085,14.45351896413834
SVHN,7.858838909529325,5.568032255090314,2.2908066544390113
SpamBase,42.447876174787424,39.44204283736286,3.005833337424562
Stamps,32.27810456302814,18.8331962541872,13.444908308840937
WBC,90.97754808774629,45.55450215041248,45.423045937333804
WDBC,36.14422903563363,25.989918435571745,10.154310600061883
WPBC,21.912814829044347,23.16542703167596,-1.2526122026316138
Waveform,7.7220485276659145,3.934459572750807,3.7875889549151074
Wilt,5.72474237124275,4.310831024482193,1.4139113467605577
Yelp,8.841641741736561,5.449554327909064,3.392087413827497
annthyroid,32.597702558795135,18.8690188075962,13.728683751198936
backdoor,55.38917304215589,47.80779922941959,7.581373812736302
breastw,96.299104858714,49.61556135662476,46.68354350208924
campaign,29.273218060798786,16.987393139718403,12.285824921080383
cardio,38.941735815805046,35.072552338890894,3.869183476914152
celeba,4.916791739412626,6.376571424207258,-1.4597796847946318
census,8.744811341121322,7.540844316424737,1.2039670246965848
cover,3.2084262055877333,1.8564000768888935,1.3520261286988398
donors,15.81123592209195,9.747485828538002,6.0637500935539475
fault,50.113887154373764,29.23955864913463,20.874328505239134
fraud,14.284309342561965,5.261770595449861,9.022538747112105
glass,14.122189966735345,6.506520565353379,7.6156694013819655
http,20.79129932782139,17.25791268759498,3.533386640226407
landsat,22.018123687083893,18.83085028141496,3.1872734056689325
letter,21.620276833004834,4.525157680525685,17.09511915247915
magic.gamma,63.295836509627364,44.66092051238255,18.63491599724481
mammography,20.147181689627814,8.12469607229909,12.022485617328725
mnist,40.43615442695544,19.902067318024677,20.534087108930763
musk,10.595472116480911,4.553678583785024,6.041793532695887
optdigits,2.315438212678816,2.757882028923268,-0.44244381624445195
pendigits,8.416189462626722,4.261711660206205,4.154477802420517
satellite,67.98332505130216,40.31056953419154,27.672755517110616
satimage-2,73.84204366773312,4.341913541433167,69.50013012629995
shuttle,74.39831374768274,64.42067603800876,9.97763770967397
skin,23.695391209771866,16.001313021918072,7.694078187853794
smtp,34.68984009166563,0.26705518096860503,34.422784910697025
speech,1.8254989684695104,1.3673898128581297,0.45810915561138077
thyroid,43.210224793844006,30.54866251187039,12.661562281973616
vertebral,8.864830747195677,10.076950559061977,-1.2121198118663
vowels,37.75277493569322,2.4568926602428305,35.29588227545039
wine,11.445399992943061,23.84087278852129,-12.395472795578227
yeast,29.503899939918437,32.695613061086064,-3.191713121167627
