policy,dataset,setting,PR-AUC,ROC-AUC,n_seeds
backup_baseline,ALOI,unsupervised,3.605372246229723,55.810658097332556,5
backup_baseline,ALOI,semi-supervised,10.31303190573004,57.90931879184363,5
backup_baseline,annthyroid,unsupervised,26.306455487157155,73.03713798346128,5
backup_baseline,annthyroid,semi-supervised,73.65655800189232,93.69951601901764,5
backup_baseline,backdoor,unsupervised,59.068150867502865,89.52041464101535,5
backup_baseline,backdoor,semi-supervised,66.06891408369458,94.94305775241578,5
backup_baseline,breastw,unsupervised,92.55612122326504,97.36439368238533,5
backup_baseline,breastw,semi-supervised,99.00820418437752,99.05424252704587,5
backup_baseline,campaign,unsupervised,30.803590265723802,76.83634240564132,5
backup_baseline,campaign,semi-supervised,51.276458263557664,79.33665847558055,5
backup_baseline,cardio,unsupervised,33.414670877401996,69.40071408953585,5
backup_baseline,cardio,semi-supervised,82.20633487811037,94.33423913043478,5
backup_baseline,Cardiotocography,unsupervised,30.561464999140526,45.77031855493979,5
backup_baseline,Cardiotocography,semi-supervised,69.610169094957,75.60294178924121,5
backup_baseline,celeba,unsupervised,4.368906268085998,68.36355330077035,5
backup_baseline,celeba,semi-supervised,12.157839617744525,76.7769439415784,5
backup_baseline,census,unsupervised,8.82053906249609,66.08247182278085,5
backup_baseline,census,semi-supervised,22.01424794901742,71.99032556584551,5
backup_baseline,cover,unsupervised,2.738454441721926,63.15839364971991,5
backup_baseline,cover,semi-supervised,77.67505427679689,98.34280033457539,5
backup_baseline,donors,unsupervised,14.740336261612185,81.26507351467413,5
backup_baseline,donors,semi-supervised,96.32011955689009,99.77710405725735,5
backup_baseline,fault,unsupervised,54.820887876475865,72.93888657126385,5
backup_baseline,fault,semi-supervised,77.86260983271407,79.90315973019719,5
backup_baseline,fraud,unsupervised,25.680561146589003,95.2096857673464,5
backup_baseline,fraud,semi-supervised,67.58876856258053,95.84652903096371,5
backup_baseline,glass,unsupervised,26.497946893433124,90.44986449864498,5
backup_baseline,glass,semi-supervised,35.641468266941914,89.08306364617044,5
backup_baseline,Hepatitis,unsupervised,29.96317401410613,66.49827784156142,5
backup_baseline,Hepatitis,semi-supervised,63.76126115899058,83.12217194570135,5
backup_baseline,http,unsupervised,3.3130707911301074,87.78616189084268,5
backup_baseline,http,semi-supervised,99.57117203131615,99.99879552116616,5
backup_baseline,InternetAds,unsupervised,32.85787263700398,72.23346438482886,5
backup_baseline,InternetAds,semi-supervised,80.38920184260967,85.90894868585733,5
backup_baseline,Ionosphere,unsupervised,93.07171567084707,95.79541446208114,5
backup_baseline,Ionosphere,semi-supervised,97.47603500411806,96.78325607529148,5
backup_baseline,landsat,unsupervised,26.26190086229401,61.66103315323146,5
backup_baseline,landsat,semi-supervised,54.91855256361581,71.27139585758846,5
backup_baseline,letter,unsupervised,42.41279962033965,90.44120000000001,5
backup_baseline,letter,semi-supervised,72.71794114504391,95.47333333333333,5
backup_baseline,Lymphography,unsupervised,88.72552910052909,99.46009389671363,5
backup_baseline,Lymphography,semi-supervised,87.7632275132275,99.10798122065728,5
backup_baseline,magic.gamma,unsupervised,70.92346753750819,77.71951256950835,5
backup_baseline,magic.gamma,semi-supervised,89.00607389907111,86.58209153996216,5
backup_baseline,mammography,unsupervised,19.038393998954966,82.53466925823422,5
backup_baseline,mammography,semi-supervised,48.65349333960987,89.25137312339803,5
backup_baseline,mnist,unsupervised,38.59687554024009,82.47327042072804,5
backup_baseline,mnist,semi-supervised,78.42972834560928,95.03370302929979,5
backup_baseline,musk,unsupervised,68.17633068703381,98.07444237756644,5
backup_baseline,musk,semi-supervised,99.99999999999999,100.0,5
backup_baseline,optdigits,unsupervised,3.0453584584873763,54.75986313988683,5
backup_baseline,optdigits,semi-supervised,33.933636420113665,94.95744176865377,5
backup_baseline,PageBlocks,unsupervised,54.23666918248681,90.15562596121799,5
backup_baseline,PageBlocks,semi-supervised,86.91953233622311,96.51706251706251,5
backup_baseline,pendigits,unsupervised,6.085983829038676,76.21015787905868,5
backup_baseline,pendigits,semi-supervised,87.88675516282017,99.61446804610344,5
backup_baseline,Pima,unsupervised,51.43882253716068,69.82179104477612,5
backup_baseline,Pima,semi-supervised,71.45285276039701,72.58059701492537,5
backup_baseline,satellite,unsupervised,60.680036879732825,75.07257409368354,5
backup_baseline,satellite,semi-supervised,88.07711097917802,84.84672709412395,5
backup_baseline,satimage-2,unsupervised,57.008874963546965,98.57616740218,5
backup_baseline,satimage-2,semi-supervised,96.33268650649225,99.86269325653853,5
backup_baseline,shuttle,unsupervised,74.04117363068708,97.98712554508538,5
backup_baseline,shuttle,semi-supervised,98.70243545317832,99.94510974234034,5
backup_baseline,skin,unsupervised,34.8284091573891,79.02321354487631,5
backup_baseline,skin,semi-supervised,80.69224277644041,95.39806956658046,5
backup_baseline,smtp,unsupervised,24.401155566140893,92.2798078338204,5
backup_baseline,smtp,semi-supervised,62.61032625657715,93.02499842314404,5
backup_baseline,SpamBase,unsupervised,43.035898664134834,58.12300683800635,5
backup_baseline,SpamBase,semi-supervised,89.59025815470984,86.42816889197157,5
backup_baseline,speech,unsupervised,3.658571709648025,66.67237987563594,5
backup_baseline,speech,semi-supervised,4.797619112526358,55.335328637436376,5
backup_baseline,Stamps,unsupervised,26.520236729259828,81.98559348575007,5
backup_baseline,Stamps,semi-supervised,58.10798250031685,93.14047866805412,5
backup_baseline,thyroid,unsupervised,41.586231033208065,96.4200182962294,5
backup_baseline,thyroid,semi-supervised,84.05959446134615,98.93641888733053,5
backup_baseline,vertebral,unsupervised,11.68400196268486,49.36031746031746,5
backup_baseline,vertebral,semi-supervised,27.973558664171588,62.596825396825395,5
backup_baseline,vowels,unsupervised,50.96605212002784,96.05917496443813,5
backup_baseline,vowels,semi-supervised,90.42908138825456,98.87453769559033,5
backup_baseline,Waveform,unsupervised,5.76192210561206,63.376428357762485,5
backup_baseline,Waveform,semi-supervised,20.69499314127618,77.52822966507178,5
backup_baseline,WBC,unsupervised,85.50512434545395,99.00469483568075,5
backup_baseline,WBC,semi-supervised,93.1483682983683,99.08411214953271,5
backup_baseline,WDBC,unsupervised,40.08353576812662,96.4313725490196,5
backup_baseline,WDBC,semi-supervised,79.9611888111888,99.15083798882681,5
backup_baseline,Wilt,unsupervised,5.132189485552502,51.35981215147292,5
backup_baseline,Wilt,semi-supervised,15.575908052442283,69.4135618721395,5
backup_baseline,wine,unsupervised,26.31959215378573,78.63865546218487,5
backup_baseline,wine,semi-supervised,88.63308537867361,97.86666666666667,5
backup_baseline,WPBC,unsupervised,26.723667479880383,55.03170353670565,5
backup_baseline,WPBC,semi-supervised,39.52747702907332,54.75923852183651,5
backup_baseline,yeast,unsupervised,30.821876329617783,43.97362210526528,5
backup_baseline,yeast,semi-supervised,51.83552500836163,49.92630776491088,5
backup_baseline,CIFAR10,unsupervised,10.792470445363964,67.48717642585551,5
backup_baseline,CIFAR10,semi-supervised,20.306781581000124,69.04927604562738,5
backup_baseline,FashionMNIST,unsupervised,32.436168069004474,87.60373015873016,5
backup_baseline,FashionMNIST,semi-supervised,60.98619185875985,90.97352380952381,5
backup_baseline,MNIST-C,unsupervised,19.26127504313296,79.7155955263158,5
backup_baseline,MNIST-C,semi-supervised,48.77508734496318,86.43213368421053,5
backup_baseline,MVTec-AD,unsupervised,58.06002374574861,77.96023983250595,5
backup_baseline,MVTec-AD,semi-supervised,71.33117022454894,79.56293263801732,5
backup_baseline,SVHN,unsupervised,8.407512339612492,62.355457265021094,5
backup_baseline,SVHN,semi-supervised,15.736872569546003,63.054711448584655,5
backup_baseline,Agnews,unsupervised,11.049471215431309,71.57816368421052,5
backup_baseline,Agnews,semi-supervised,23.54374509108807,75.84039684210526,5
backup_baseline,Amazon,unsupervised,6.360073457678856,61.50578736842105,5
backup_baseline,Amazon,semi-supervised,12.53577216636055,63.08397473684211,5
backup_baseline,Imdb,unsupervised,4.625881609451477,49.40578315789473,5
backup_baseline,Imdb,semi-supervised,9.165805377271521,50.83114105263158,5
backup_baseline,Yelp,unsupervised,8.745418557954903,68.08255157894737,5
backup_baseline,Yelp,semi-supervised,17.236804282308405,70.15828210526315,5
backup_baseline,20newsgroups,unsupervised,9.549126969928441,65.129169657445,5
backup_baseline,20newsgroups,semi-supervised,18.07577496252367,66.41994560560688,5
unsup_ssts,ALOI,unsupervised,3.5552118805580037,55.61475915289475,5
unsup_ssts,annthyroid,unsupervised,28.024765161784824,72.28099495342794,5
unsup_ssts,backdoor,unsupervised,56.91694934575723,89.94037396639843,5
unsup_ssts,breastw,unsupervised,95.57098088066016,97.60262354404614,5
unsup_ssts,campaign,unsupervised,29.78087237528705,75.79963695593513,5
unsup_ssts,cardio,unsupervised,53.6320485089577,90.57937379840703,5
unsup_ssts,Cardiotocography,unsupervised,41.05538008786234,67.36179111629652,5
unsup_ssts,celeba,unsupervised,6.933728785554178,75.5017280118337,5
unsup_ssts,census,unsupervised,8.717019468917119,65.9623150722231,5
unsup_ssts,cover,unsupervised,8.91485396394049,93.87375963430411,5
unsup_ssts,donors,unsupervised,15.915929172713103,80.39779139133896,5
unsup_ssts,fault,unsupervised,42.05201066418255,58.183659024753794,5
unsup_ssts,fraud,unsupervised,18.776134022144866,95.36584136254461,5
unsup_ssts,glass,unsupervised,17.0110123523329,73.61517615176152,5
unsup_ssts,Hepatitis,unsupervised,33.537671619569785,76.28013777267509,5
unsup_ssts,http,unsupervised,23.72331456640387,99.39968957399887,5
unsup_ssts,InternetAds,unsupervised,27.235563214560546,57.82135957990967,5
unsup_ssts,Ionosphere,unsupervised,87.94389182909518,89.91181657848324,5
unsup_ssts,landsat,unsupervised,19.289395149889437,45.76443699321538,5
unsup_ssts,letter,unsupervised,17.670097668070802,72.14906666666667,5
unsup_ssts,Lymphography,unsupervised,91.89417989417989,99.6244131455399,5
unsup_ssts,magic.gamma,unsupervised,62.29450031491956,69.3970743103095,5
unsup_ssts,mammography,unsupervised,23.444144816095015,87.82154451791914,5
unsup_ssts,mnist,unsupervised,40.327905335651685,86.80277519091078,5
unsup_ssts,musk,unsupervised,97.93660990731877,99.86446689035309,5
unsup_ssts,optdigits,unsupervised,2.885151866001745,54.76375838926174,5
unsup_ssts,PageBlocks,unsupervised,53.17904356147052,92.01210281368333,5
unsup_ssts,pendigits,unsupervised,23.62188496541818,92.96842418826333,5
unsup_ssts,Pima,unsupervised,49.94067137816973,67.80044776119402,5
unsup_ssts,satellite,unsupervised,67.39735186260364,68.16070561669892,5
unsup_ssts,satimage-2,unsupervised,87.4488342724211,99.44934786668371,5
unsup_ssts,shuttle,unsupervised,79.9784634260886,99.13021123088615,5
unsup_ssts,skin,unsupervised,22.38403682322238,60.58191480875657,5
unsup_ssts,smtp,unsupervised,56.66256240904414,84.84683472447071,5
unsup_ssts,SpamBase,unsupervised,41.877877468604815,55.27396317880594,5
unsup_ssts,speech,unsupervised,1.8701635149727067,49.490378745053704,5
unsup_ssts,Stamps,unsupervised,33.71020028289038,90.65664474371019,5
unsup_ssts,thyroid,unsupervised,53.56034134958869,96.65342674347576,5
unsup_ssts,vertebral,unsupervised,9.520556937632866,39.869841269841274,5
unsup_ssts,vowels,unsupervised,15.931580403498808,78.22019914651494,5
unsup_ssts,Waveform,unsupervised,5.98165921494518,68.18540233323361,5
unsup_ssts,WBC,unsupervised,92.0917578035999,99.35211267605634,5
unsup_ssts,WDBC,unsupervised,56.833366614490856,97.92156862745098,5
unsup_ssts,Wilt,unsupervised,3.7065089085809957,34.97522248587127,5
unsup_ssts,wine,unsupervised,15.123109419412662,77.32773109243698,5
unsup_ssts,WPBC,unsupervised,22.69925154800088,49.296886008172464,5
unsup_ssts,yeast,unsupervised,29.665528645305738,40.585074060390966,5
unsup_ssts,CIFAR10,unsupervised,10.506359569868307,66.25344486692015,5
unsup_ssts,FashionMNIST,unsupervised,33.04805073175479,86.24659259259259,5
unsup_ssts,MNIST-C,unsupervised,18.565795639888577,76.40273013157895,5
unsup_ssts,MVTec-AD,unsupervised,56.25900689455957,75.40633522945446,5
unsup_ssts,SVHN,unsupervised,8.034712526150553,60.48056909758901,5
unsup_ssts,Agnews,unsupervised,7.593340312621807,62.763099999999994,5
unsup_ssts,Amazon,unsupervised,6.169881083055298,59.31604631578947,5
unsup_ssts,Imdb,unsupervised,4.789123707329378,50.029804210526315,5
unsup_ssts,Yelp,unsupervised,8.103885691753757,64.01805473684212,5
unsup_ssts,20newsgroups,unsupervised,7.503616551208188,59.79252891611863,5
semi_cvnlp,CIFAR10,semi-supervised,20.487834708805842,68.63763346007605,5
semi_cvnlp,FashionMNIST,semi-supervised,61.107217349687026,90.27982857142857,5
semi_cvnlp,MNIST-C,semi-supervised,48.79181258578818,84.747865,5
semi_cvnlp,MVTec-AD,semi-supervised,70.59650676425531,78.26425119605514,5
semi_cvnlp,SVHN,semi-supervised,15.602914726186464,62.309780610810506,5
semi_cvnlp,Agnews,semi-supervised,17.820277495156667,69.55467894736842,5
semi_cvnlp,Amazon,semi-supervised,12.355263173588138,62.10951578947369,5
semi_cvnlp,Imdb,semi-supervised,9.508569046542087,52.24119157894737,5
semi_cvnlp,Yelp,semi-supervised,17.509284397869333,68.78405052631578,5
semi_cvnlp,20newsgroups,semi-supervised,15.687528867014667,62.215274334160405,5
