dataset,ada,ddae,delta
20newsgroups,14.529151150031225,17.26919028377928,-2.7400391337480556
ALOI,7.163396488611994,9.237281816541353,-2.073885327929359
Agnews,15.87647350943528,23.385137553277445,-7.508664043842165
Amazon,11.681528856738336,12.352692872762727,-0.6711640160243917
CIFAR10,19.419787719075853,20.337836284087473,-0.9180485650116204
Cardiotocography,63.544387800502804,65.27055971295141,-1.7261719124486063
FashionMNIST,58.073564823559295,61.14720464120588,-3.073639817646587
Hepatitis,63.829787234042556,50.957994588550676,12.87179264549188
Imdb,9.300730822938476,8.999892601599255,0.30083822133922133
InternetAds,45.40435817603931,78.95202128748906,-33.54766311144975
Ionosphere,96.75175974447612,97.00664891179215,-0.25488916731603695
Lymphography,53.896103896103895,87.82900432900433,-33.93290043290044
MNIST-C,45.38776669574692,50.14664121865246,-4.758874522905543
MVTec-AD,70.4530171615095,70.29106720362704,0.16194995788247013
PageBlocks,86.21474040020118,85.33895815820624,0.8757822419949406
Pima,71.39622884437216,69.61354901911928,1.7826798252528846
SVHN,15.206712725002628,15.672817245067193,-0.46610452006456526
SpamBase,93.13150314819015,89.26057365525072,3.8709294929394247
Stamps,53.50526469870234,57.1687936532859,-3.663528954583562
WBC,90.07133285531117,83.38596292338552,6.685369931925649
WDBC,74.25412374915133,71.1054956481427,3.148628101008626
WPBC,36.528837536988775,36.7044575875742,-0.1756200505854224
Waveform,14.695251595874367,14.53021386529097,0.1650377305833981
Wilt,16.12493554867043,13.495374088531253,2.6295614601391755
Yelp,15.312366283955754,17.395776572302818,-2.083410288347064
annthyroid,68.3143340918698,67.44106287147412,0.8732712203956794
backdoor,18.392377359121642,67.54473067470657,-49.15235331558493
breastw,98.69778881307478,98.56027276149266,0.137516051582125
campaign,42.98959387292474,51.56073082764923,-8.571136954724487
cardio,75.05247842822516,79.69635041948808,-4.643871991262927
celeba,8.802631502721251,8.87607537604813,-0.07344387332687852
census,13.167180575058916,21.506710540541043,-8.339529965482127
cover,9.624148834396575,79.3741733711523,-69.75002453675572
donors,79.69609373071964,98.64613046174725,-18.95003673102761
fault,75.15513407548673,77.77872967326232,-2.6235955977755907
fraud,13.385147495703615,62.59029622690749,-49.20514873120388
glass,27.938128315064414,24.613779559031133,3.324348756033281
http,38.434037172072145,99.60558507524547,-61.17154790317333
landsat,49.387112592016116,57.45814131570103,-8.071028723684911
letter,37.718059864637205,73.12302417064127,-35.40496430600407
magic.gamma,82.83511314540435,88.2506344481666,-5.415521302762244
mammography,26.166262508164767,36.96788415510447,-10.801621646939704
mnist,78.24444943051424,77.8133443639316,0.4311050665826315
musk,99.99999999999999,99.99999999999999,0.0
optdigits,19.50856420428921,33.50917681040377,-14.000612606114561
pendigits,64.151629905049,93.46456833675424,-29.312938431705234
satellite,86.1610262357811,87.92619145535477,-1.7651652195736744
satimage-2,97.42907148550763,93.08110432304194,4.347967162465693
shuttle,97.1183367719158,98.44554421967891,-1.3272074477631008
skin,70.71491854144539,87.30325679344082,-16.588338251995438
smtp,43.8783258640085,52.931573220956025,-9.053247356947523
speech,3.5078023035403247,3.7226770788049146,-0.21487477526458987
thyroid,58.60749623087871,75.7627465438082,-17.155250312929496
vertebral,26.57876444406322,20.37473684783886,6.2040275962243605
vowels,63.92980460877324,92.19337995535338,-28.26357534658014
wine,68.22724332714742,78.65152714932125,-10.424283822173834
yeast,49.13376965036133,50.244454488440844,-1.1106848380795142
